Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
22,8,5,13,2,15,17,30,9,10,19,1,31,32,51,81,,,,
23,3,4,7,2,17,19,26,10,4,14,0,32,32,46,72,,,,
All,Hours,463,275,738,72,"2,646","2,718","3,456",485,506,991,17,"2,489","2,506","3,497","6,953",,,
March,"06,",2018,0,1,2,3,1,4,5,8,3,3,6,0,22,22,28,36,
Southbound,/,Westbound,Northbound,/,Eastbound,,,,,,,,,,,,,,
Non-SunPass,SunPass,Total,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Non-SunPass,SunPass,,,,,,,,,,,,,,,,,,
Direction,Total,,,,,,,,,,,,,,,,,,
Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total,Man,ORT,Toll,Type,Total
March,"06,",2018,1,1,1,2,1,1,2,4,0,2,2,0,8,8,10,14,
2,1,1,2,0,7,7,9,0,1,1,0,6,6,7,16,,,,
3,4,1,5,0,13,13,18,1,0,1,0,8,8,9,27,,,,
4,6,1,7,2,51,53,60,3,10,13,0,43,43,56,116,,,,
5,8,7,15,1,112,113,128,2,7,9,0,40,40,49,177,,,,
6,28,15,43,1,160,161,204,15,21,36,0,105,105,141,345,,,,
7,14,7,21,0,182,182,203,12,33,45,0,133,133,178,381,,,,
8,16,15,31,1,183,184,215,14,37,51,0,138,138,189,404,,,,
9,31,27,58,1,178,179,237,23,36,59,0,154,154,213,450,,,,
10,45,17,62,2,162,164,226,35,52,87,1,171,172,259,485,,,,
11,28,9,37,5,160,165,202,31,28,59,0,133,133,192,394,,,,
12,24,8,32,4,174,178,210,25,31,56,2,125,127,183,393,,,,
13,36,12,48,1,153,154,202,27,27,54,0,158,158,212,414,,,,
